indicator_name,theme,aggregation_function,numerator_condition,denominator_condition,disaggregation,excludeDisaggregation,includedInCensus
pobreza31,pobreza,pct,"income_category==""extreme""",!is.na(income_category),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza,pobreza,pct,"income_category==""poverty""",!is.na(income_category),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5,pobreza,pct,"income_category==""poverty""|income_category==""extreme""",!is.na(income_category),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable,pobreza,pct,"income_category==""vulnerable""",!is.na(income_category),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
middle,pobreza,pct,"income_category==""middle""",!is.na(income_category),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
rich,pobreza,pct,"income_category==""rich""",!is.na(income_category),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza31_lp2017,pobreza,pct,"income_category_lp2017==""extreme""",!is.na(income_category_lp2017),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_lp2017,pobreza,pct,"income_category_lp2017==""poverty""",!is.na(income_category_lp2017),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
pobreza_under5_lp2017,pobreza,pct,"income_category_lp2017==""poverty""|income_category_lp2017==""extreme""",!is.na(income_category_lp2017),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
vulnerable_lp2017,pobreza,pct,"income_category_lp2017==""vulnerable""",!is.na(income_category_lp2017),"isoalpha3,year","disability,migration quintile,migration ethnicity,migration disability,quintile ethnicity,area,quintile quintile,ethnicity ethnicity,disability migration,area age_scl,area,migration age_scl,migration age_scl,ethnicity",1
