Pais,Encuesta,access_right,Ronda armonizada BID,Total,year,availability,person
ARG,EPHP,,m10,11,1986,,
ARG,EPHP,,m10,11,1989,,
ARG,EPHP,,m10,11,1990,,
ARG,EPHP,,m10,11,1991,,
ARG,EPHP,,m10,11,1992,1.0,
ARG,EPHP,,m10,11,1993,1.0,
ARG,EPHP,,m10,11,1994,1.0,
ARG,EPHP,,m10,11,1995,1.0,
ARG,EPHP,,m10,11,1996,1.0,
ARG,EPHP,,m10,11,1997,1.0,
ARG,EPHP,,m10,11,1998,1.0,
ARG,EPHP,,m10,11,1999,1.0,
ARG,EPHP,,m10,11,2000,1.0,
ARG,EPHP,,m10,11,2001,1.0,
ARG,EPHP,,m10,11,2002,1.0,
ARG,EPHP,,m10,11,2003,,
ARG,EPHP,,m10,11,2004,,
ARG,EPHP,,m10,11,2005,,
ARG,EPHP,,m10,11,2006,,
ARG,EPHP,,m10,11,2007,,
ARG,EPHP,,m10,11,2008,,
ARG,EPHP,,m10,11,2009,,
ARG,EPHP,,m10,11,2010,,
ARG,EPHP,,m10,11,2011,,
ARG,EPHP,,m10,11,2012,,
ARG,EPHP,,m10,11,2013,,
ARG,EPHP,,m10,11,2014,,
ARG,EPHP,,m10,11,2015,,
ARG,EPHP,,m10,11,2016,,
ARG,EPHP,,m10,11,2017,,
ARG,EPHP,,m10,11,2018,,
ARG,EPHP,,m10,11,2019,,
ARG,EPHP,,m10,11,2020,,
ARG,EPHP,,m10,11,2021,,
ARG,EPHP,,m10,11,2022,,
ARG,EPHC,public,s2,18,1986,,
ARG,EPHC,public,s2,18,1989,,
ARG,EPHC,public,s2,18,1990,,
ARG,EPHC,public,s2,18,1991,,
ARG,EPHC,public,s2,18,1992,,
ARG,EPHC,public,s2,18,1993,,
ARG,EPHC,public,s2,18,1994,,
ARG,EPHC,public,s2,18,1995,,
ARG,EPHC,public,s2,18,1996,,
ARG,EPHC,public,s2,18,1997,,
ARG,EPHC,public,s2,18,1998,,
ARG,EPHC,public,s2,18,1999,,
ARG,EPHC,public,s2,18,2000,,
ARG,EPHC,public,s2,18,2001,,
ARG,EPHC,public,s2,18,2002,,
ARG,EPHC,,s2,18,2003,1.0,
ARG,EPHC,,s2,18,2004,1.0,
ARG,EPHC,,s2,18,2005,1.0,
ARG,EPHC,,s2,18,2006,1.0,
ARG,EPHC,,s2,18,2007,1.0,
ARG,EPHC,,s2,18,2008,1.0,
ARG,EPHC,,s2,18,2009,1.0,
ARG,EPHC,,s2,18,2010,1.0,
ARG,EPHC,,s2,18,2011,1.0,
ARG,EPHC,,s2,18,2012,1.0,
ARG,EPHC,,s2,18,2013,1.0,
ARG,EPHC,,s2,18,2014,1.0,
ARG,EPHC,public,s2,18,2015,,
ARG,EPHC,,s1,1,2015,1.0,
ARG,EPHC,,s2,18,2016,1.0,
ARG,EPHC,,s2,18,2017,1.0,
ARG,EPHC,,s2,18,2018,1.0,
ARG,EPHC,,s2,18,2019,1.0,
ARG,EPHC,,s2,18,2020,1.0,
ARG,EPHC,,s2,18,2021,1.0,
ARG,EPHC,,s2,18,2022,1.0,
ARG,EPHC,public,s1,1,1986,,
ARG,EPHC,public,s1,1,1989,,
ARG,EPHC,public,s1,1,1990,,
ARG,EPHC,public,s1,1,1991,,
ARG,EPHC,public,s1,1,1992,,
ARG,EPHC,public,s1,1,1993,,
ARG,EPHC,public,s1,1,1994,,
ARG,EPHC,public,s1,1,1995,,
ARG,EPHC,public,s1,1,1996,,
ARG,EPHC,public,s1,1,1997,,
ARG,EPHC,public,s1,1,1998,,
ARG,EPHC,public,s1,1,1999,,
ARG,EPHC,public,s1,1,2000,,
ARG,EPHC,public,s1,1,2001,,
ARG,EPHC,public,s1,1,2002,,
ARG,EPHC,public,s1,1,2003,,
ARG,EPHC,public,s1,1,2004,,
ARG,EPHC,public,s1,1,2005,,
ARG,EPHC,public,s1,1,2006,,
