"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.306510509322271","23755","0.23358936063657","117.458704242503","7281.15714895054","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Otro","Total","Total","0.257887089458272","2457","0.683014495835754","131.281309028804","633.628578798974","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Afro","Total","Total","0.710256982569679","22188","0.253091437673364","53.0787906632661","15759.181929256","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Otro","Total","Total","0.715742365110753","1226","1.10079829928743","53.8513085655763","877.500139625784","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Afro","Total","Total","0.501498358361591","45943","0.195925950658065","83.7398391262929","23040.3390782066","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Otro","Total","Total","0.410298321592386","3683","0.684270571063461","101.211294929585","1511.12871842476","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Total","Total","Total","0.301952759337308","26212","0.221332514440323","118.674195092193","7914.78572774952","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","women","Total","Total","Total","Total","Total","0.710544207264108","23414","0.246663899070913","53.1192942151329","16636.6820688818","1"
"year","2010",NA,"BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","Total","Total","Total","Total","Total","Total","0.494729935852806","49626","0.188663755110679","84.9522566362265","24551.4677966313","1"
"year","2010","country","BRB","BRB-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.306510509322271","23755","0.23358936063657","117.458704242503","7281.15714895054","1"
