"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2010","214001","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.915669326241135","82630","0.092504439239749","0.101023848444814","9024","1"
"year","2010","214002","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.898076923076923","4670","0.419557375084398","0.467173094312392","520","1"
"year","2010","214003","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.90193842645382","7910","0.317568982333417","0.352096077757783","877","1"
"year","2010","214005","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.94392523364486","3030","0.406069170378585","0.430192091391174","321","1"
"year","2010","214006","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.675650557620818","7270","0.451296028769559","0.667942953172002","1076","1"
"year","2010","214007","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.657458563535912","1190","1.1154534810283","1.69661411820272","181","1"
"year","2010","214008","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.611202635914333","3710","0.625691016699477","1.02370470926303","607","1"
"year","2010","214009","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.687861271676301","4760","0.557020540353727","0.809786163707519","692","1"
"year","2010","214011","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.577878103837472","7680","0.428424767018953","0.74137567105233","1329","1"
"year","2010","214013","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.743631436314363","13720","0.32144973369886","0.432270232269968","1845","1"
"year","2010","214014","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.742798353909465","3610","0.626980745004738","0.844079340920506","486","1"
"year","2010","214015","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.858513189448441","3580","0.539713693066266","0.628660921811824","417","1"
"year","2010","214016","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.808219178082192","590","1.45715494170717","1.80292052109531","73","1"
"year","2010","214017","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.832880434782609","6130","0.434876631898505","0.522135727695432","736","1"
"year","2010","214018","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.906799083269672","35610","0.146701710502167","0.161779729610224","3927","1"
"year","2010","214019","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.521472392638037","1700","0.874903914714534","1.67775691880552","326","1"
"year","2010","214020","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.717877094972067","2570","0.752146967033869","1.04773779843628","358","1"
"year","2010","214021","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.721372276309689","15560","0.305257831452649","0.423162687945607","2157","1"
"year","2010","214022","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.857523302263648","6440","0.403343364837021","0.470358489118949","751","1"
"year","2010","214023","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.761780104712042","5820","0.487368154780798","0.639775378440773","764","1"
"year","2010","214024","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.710031347962382","4530","0.568072737065724","0.800067121960114","638","1"
"year","2010","214026","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.808035714285714","1810","0.832149751301695","1.02984278614132","224","1"
"year","2010","214027","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_disability","Total","0.926229508196721","4520","0.374188757329021","0.403991401718057","488","1"
"year","2010","214001","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.91095284251338","432320","0.0413431213357849","0.0453844803005569","47458","1"
"year","2010","214002","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.873183619550859","26440","0.191232864903484","0.219006473119421","3028","1"
"year","2010","214003","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.835500650195058","38550","0.17259042328196","0.206571261484556","4614","1"
"year","2010","214005","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.921420882669537","8560","0.279173853588547","0.302981904186635","929","1"
"year","2010","214006","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.724859995130265","29770","0.220364475842406","0.304009708526961","4107","1"
"year","2010","214007","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.705102040816327","6910","0.460626406738336","0.653276235316309","980","1"
"year","2010","214008","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.643989176652493","16660","0.297695774673703","0.462268288764028","2587","1"
"year","2010","214009","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.763797540749214","26710","0.227134716496608","0.297375553571186","3497","1"
"year","2010","214011","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.517712433433665","44720","0.170016366597672","0.328399234049797","8638","1"
"year","2010","214013","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.760934393638171","61240","0.150344717475038","0.197579080052108","8048","1"
"year","2010","214014","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.733023255813953","15760","0.301700731319974","0.411584119503771","2150","1"
"year","2010","214015","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.877747989276139","16370","0.239868659993539","0.273277367677428","1865","1"
"year","2010","214016","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.746808510638298","3510","0.63427888200915","0.849319300696013","470","1"
"year","2010","214017","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.830144927536232","28640","0.202165326821202","0.243530159753194","3450","1"
"year","2010","214018","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.909556844067095","175690","0.0652595656352866","0.0717487489220329","19316","1"
"year","2010","214019","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.53474762253109","7310","0.42661338218049","0.797784532750657","1367","1"
"year","2010","214020","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.706211180124224","11370","0.358981434485755","0.508320237046671","1610","1"
"year","2010","214021","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.774034822104466","81800","0.128648464249387","0.166205008580381","10568","1"
"year","2010","214022","DOM","DOM-IPUMS","aguared_ch_PHC","Total","Total","men","Total","Total","Total","person_with_no_disability","Total","0.856665738936822","30780","0.184863893839171","0.21579466230154","3593","1"
