"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year","2011","388001","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.201052257154452","6989","0.415135727442378","178.287567915174","1417.10557762233","1"
"year","2011","388002","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.265097362164353","35877","0.230342940868328","198.747443947637","9592.85869938664","1"
"year","2011","388003","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.188756257578227","7783","0.408288831435789","207.678928555808","1489.69998054306","1"
"year","2011","388004","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.184009376526442","6447","0.463839792017798","229.310100344867","1204.08581939628","1"
"year","2011","388005","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.202410800155247","8833","0.388383947332189","195.63185385326","1808.20038116959","1"
"year","2011","388006","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.225947754216372","14882","0.308777977093978","180.24547539213","3391.45264888763","1"
"year","2011","388007","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.179987160336309","8884","0.354355860983707","197.538870400852","1606.10614306067","1"
"year","2011","388008","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.254515555174243","17543","0.297668385069309","167.742286834772","4424.05317267609","1"
"year","2011","388009","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.216529914467431","7357","0.403448092407258","160.556429659567","1608.72273039809","1"
"year","2011","388010","JAM","JAM-IPUMS","ylmfem_ch_PHC","Total","Total","men","Total","Total","Afro","Total","Total","0.166940017868025","16943","0.234856688628461","187.86797903192","2842.27507453075","1"
