"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","men","Total","Total","Total","Total","Migrant",0.80297434811581,128936,0.0992603864246254,0.123615887179387,468,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","men","Total","Total","Total","Total","Non-migrant",1.08006465392328,1490783,NA,NA,5434,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","women","Total","Total","Total","Total","Migrant",1.02177449691972,209146,NA,NA,593,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","women","Total","Total","Total","Total","Non-migrant",1.28069697121139,2588254,NA,NA,7725,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","Total","Total","Total","Total","Total","Migrant",0.925587660364341,338082,0.0434239185601997,0.0469149713416735,1061,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","Total","Total","Total","Total","Total","Non-migrant",1.19927761746067,4079037,NA,NA,13159,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_1","men","Total","65+","Total","Total","Total",0.559023051221186,49691,0.166532419573344,0.297899020817754,256,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_2","men","Total","65+","Total","Total","Total",0.755224552386834,144300,0.0983618892315975,0.130241911390105,696,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_3","men","Total","65+","Total","Total","Total",0.91590953572937,355655,0.044536029542989,0.0486249217915648,1553,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_4","men","Total","65+","Total","Total","Total",0.910147254511663,413803,0.0424111961934513,0.0465981696733316,1929,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_5","men","Total","65+","Total","Total","Total",0.661481635253441,277221,0.0730963759547282,0.110504014108754,1471,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_1","women","Total","65+","Total","Total","Total",0.807609916294695,85580,0.121089599711541,0.149935751491386,320,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_2","women","Total","65+","Total","Total","Total",0.880596739759667,238824,0.0622653138944378,0.0707080904154055,938,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_3","women","Total","65+","Total","Total","Total",0.944625333811257,503354,0.031331297993963,0.0331679628658184,2103,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_4","women","Total","65+","Total","Total","Total",0.964318606044169,664889,0.0223391620525855,0.0231657482418858,2802,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_5","women","Total","65+","Total","Total","Total",0.705616069038484,442839,0.0575310872837165,0.0815331308456622,2159,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_1","Total","Total","65+","Total","Total","Total",0.694210083343597,135271,0.104375879371963,0.150352007088757,576,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_2","Total","Total","65+","Total","Total","Total",0.828777613373829,383124,0.0554049548816279,0.0668514134401902,1634,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_3","Total","Total","65+","Total","Total","Total",0.932520525549601,859009,0.0261363771554409,0.028027669567956,3656,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_4","Total","Total","65+","Total","Total","Total",0.942792266021994,1078692,0.0217117412717247,0.0230291889891449,4731,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_5","Total","Total","65+","Total","Total","Total",0.687944678570303,720060,0.0452881905344693,0.065831151755673,3630,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_1","men","Total","Total","Total","Total","Total",1.21233223458471,107763,NA,NA,256,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_2","men","Total","Total","Total","Total","Total",1.19137589038515,227635,NA,NA,696,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_3","men","Total","Total","Total","Total","Total",1.17861851931972,457667,NA,NA,1553,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_4","men","Total","Total","Total","Total","Total",1.09180367531425,496394,NA,NA,1929,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_5","men","Total","Total","Total","Total","Total",0.790794839306976,331415,0.0628295490708455,0.0794511369420506,1471,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_1","women","Total","Total","Total","Total","Total",2.23540347466664,236879,NA,NA,320,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_2","women","Total","Total","Total","Total","Total",1.53328269550565,415837,NA,NA,938,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_3","women","Total","Total","Total","Total","Total",1.33811631926525,713030,NA,NA,2103,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_4","women","Total","Total","Total","Total","Total",1.2646285448251,871950,NA,NA,2802,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_5","women","Total","Total","Total","Total","Total",0.893003734910579,560442,0.0390186507164863,0.0436937150328867,2159,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_1","Total","Total","Total","Total","Total","Total",1.76870098944862,344642,NA,NA,576,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_2","Total","Total","Total","Total","Total","Total",1.39196497330599,643472,NA,NA,1634,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_3","Total","Total","Total","Total","Total","Total",1.27088189029375,1170697,NA,NA,3656,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_4","Total","Total","Total","Total","Total","Total",1.19595226483333,1368344,NA,NA,4731,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","quintile_5","Total","Total","Total","Total","Total","Total",0.852079378379127,891857,0.0347013846090539,0.0407255303784782,3630,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","Total","men","Total","65+","Total","Total","Total",0.804578693291622,1240670,0.0319320163881324,0.039687872242173,5905,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","Total","women","Total","65+","Total","Total","Total",0.86905408694106,1935486,0.0226046487647186,0.026010635131219,8322,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","Total","Total","Total","65+","Total","Total","Total",0.842676161342273,3176156,0.0187545679167772,0.0222559611593897,14227,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","Total","men","Total","Total","Total","Total","Total",1.05114227386039,1620874,NA,NA,5905,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","Total","women","Total","Total","Total","Total","Total",1.25639413807441,2798138,NA,NA,8322,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","urban","Total","Total","Total","Total","Total","Total","Total",1.17242228312634,4419012,NA,NA,14227,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_1","men","Total","65+","Total","Total","Total",0.559023051221186,49691,0.166532419573344,0.297899020817754,256,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_2","men","Total","65+","Total","Total","Total",0.755224552386834,144300,0.0983618892315975,0.130241911390105,696,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_3","men","Total","65+","Total","Total","Total",0.91590953572937,355655,0.044536029542989,0.0486249217915648,1553,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_4","men","Total","65+","Total","Total","Total",0.910147254511663,413803,0.0424111961934513,0.0465981696733316,1929,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_5","men","Total","65+","Total","Total","Total",0.661481635253441,277221,0.0730963759547282,0.110504014108754,1471,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_1","women","Total","65+","Total","Total","Total",0.807609916294695,85580,0.121089599711541,0.149935751491386,320,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_2","women","Total","65+","Total","Total","Total",0.880596739759667,238824,0.0622653138944378,0.0707080904154055,938,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_3","women","Total","65+","Total","Total","Total",0.944625333811257,503354,0.031331297993963,0.0331679628658184,2103,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_4","women","Total","65+","Total","Total","Total",0.964318606044169,664889,0.0223391620525855,0.0231657482418858,2802,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_5","women","Total","65+","Total","Total","Total",0.705616069038484,442839,0.0575310872837165,0.0815331308456622,2159,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_1","Total","Total","65+","Total","Total","Total",0.694210083343597,135271,0.104375879371963,0.150352007088757,576,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_2","Total","Total","65+","Total","Total","Total",0.828777613373829,383124,0.0554049548816279,0.0668514134401902,1634,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_3","Total","Total","65+","Total","Total","Total",0.932520525549601,859009,0.0261363771554409,0.028027669567956,3656,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_4","Total","Total","65+","Total","Total","Total",0.942792266021994,1078692,0.0217117412717247,0.0230291889891449,4731,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_5","Total","Total","65+","Total","Total","Total",0.687944678570303,720060,0.0452881905344693,0.065831151755673,3630,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_1","men","Total","Total","Total","Total","Total",1.21233223458471,107763,NA,NA,256,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_2","men","Total","Total","Total","Total","Total",1.19137589038515,227635,NA,NA,696,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_3","men","Total","Total","Total","Total","Total",1.17861851931972,457667,NA,NA,1553,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_4","men","Total","Total","Total","Total","Total",1.09180367531425,496394,NA,NA,1929,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_5","men","Total","Total","Total","Total","Total",0.790794839306976,331415,0.0628295490708455,0.0794511369420506,1471,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_1","women","Total","Total","Total","Total","Total",2.23540347466664,236879,NA,NA,320,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_2","women","Total","Total","Total","Total","Total",1.53328269550565,415837,NA,NA,938,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_3","women","Total","Total","Total","Total","Total",1.33811631926525,713030,NA,NA,2103,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_4","women","Total","Total","Total","Total","Total",1.2646285448251,871950,NA,NA,2802,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_5","women","Total","Total","Total","Total","Total",0.893003734910579,560442,0.0390186507164863,0.0436937150328867,2159,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_1","Total","Total","Total","Total","Total","Total",1.76870098944862,344642,NA,NA,576,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_2","Total","Total","Total","Total","Total","Total",1.39196497330599,643472,NA,NA,1634,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_3","Total","Total","Total","Total","Total","Total",1.27088189029375,1170697,NA,NA,3656,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_4","Total","Total","Total","Total","Total","Total",1.19595226483333,1368344,NA,NA,4731,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","quintile_5","Total","Total","Total","Total","Total","Total",0.852079378379127,891857,0.0347013846090539,0.0407255303784782,3630,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","men","Total","65+","Total","Total","Total",0.804578693291622,1240670,0.0319320163881324,0.039687872242173,5905,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","women","Total","65+","Total","Total","Total",0.86905408694106,1935486,0.0226046487647186,0.026010635131219,8322,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","Total","Total","65+","Total","Total","Total",0.842676161342273,3176156,0.0187545679167772,0.0222559611593897,14227,1
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","men","Total","Total","Total","Total","Total",1.05114227386039,1620874,NA,NA,5905,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","women","Total","Total","Total","Total","Total",1.25639413807441,2798138,NA,NA,8322,NA
"year",2019,"country","ARG","ARG-EPHC","pensionista_65_mas2","Total","Total","Total","Total","Total","Total","Total","Total",1.17242228312634,4419012,NA,NA,14227,NA
